"Details","Phylum","Class","Order","Family","Genus","Species","Strain name","Strain name synonym","NCBI ID","WoRMS ID","Reads Type"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Skeletonema","costatum","RA080513-05","","2843","149074","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Skeletonema","dohrnii","SkelB","","267566","489112","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Skeletonema","grethea","CCMP1804","CCMP1804","267565","376665","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Skeletonema","japonicum","CCMP2506","CCMP2506","267983","376666","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Skeletonema","marinoi","SM1012Hels-07","","267567","376667","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Skeletonema","marinoi","SM1012Den-03","","267567","376667","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Skeletonema","marinoi","skelA","","267567","376667","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Skeletonema","marinoi","FE7","","267567","376667","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Skeletonema","marinoi","FE60","","267567","376667","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Skeletonema","marinoi","UNC1201","","267567","376667","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Skeletonema","menzelii","CCMP793","CCMP793","216823","376361","paired"
"","Foraminifera","Miliolida","Miliolida_X","Miliolida_X","Sorites","sp","Sorites sp.","","126664","112069","paired"
"","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_X","Spumella","elongata","955-1","CCAP955/1","89044","610298","paired"
"","Ochrophyta","Bacillariophyceae","Naviculales","Naviculales","Stauroneis","constricta","CCMP1120","CCMP1120","265584","590735","paired"
"","Ochrophyta","Bacillariophyceae","Fragilariales","Fragilariales","Staurosira","complex","CCMP2646","CCMP2646","210615","175928","paired"
"","Ochrophyta","Coscinodiscophyceae","Stephanopyxales","Stephanopyxales","Stephanopyxis","turris","CCMP815","CCMP815","515487","149631","paired"
"","Stereomyxa","Stereomyxa_X","Stereomyxa_Xx","Stereomyxa_Xx","Stereomyxa","ramosa","Chinc5","","1078864","120630","paired"
"","Chlorophyta","Trebouxiophyceae","Prasiolales","Prasiolales","Stichococcus","sp","Biosope_148 A1C1-1","RCC1054","29646","144193","paired"
"","Ochrophyta","Bacillariophyta","Striatellales","Striatellales","Striatella","unipunctata","CCMP2910","CCMP2910","210618","573470","paired"
"","Ciliophora","Spirotrichea","Choreotrichia","Choreotrichia","Strombidinopsis","acuminata","SMPC142","","141414","101350","paired"
"","Ciliophora","Spirotrichea","Choreotrichia","Choreotrichia","Strombidinopsis","sp","LIS2011","","181622","101198","paired"
"","Ciliophora","Spirotrichea","Oligotrichia","Oligotrichia","Strombidium","inclinatum","S3","","197538","428332","paired"
"","Ciliophora","Spirotrichea","Oligotrichia","Oligotrichia","Strombidium","rassoulzadegani","ras09","","1082188","595221","paired"
"","Hilomonadea","Planomonadida","Planomonadidae","Planomonadidae","Stygamoeba","regulata","BSH-02190019","","1042828","120587","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Symbiodinium","kawagutii","CCMP2468","CCMP2468","104179","623649","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Symbiodinium","sp","CCMP421","CCMP421","174948","109572","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Symbiodinium","sp","CCMP2430","CCMP2430","631057","109572","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Symbiodinium","sp","Mp","","230996","109572","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Symbiodinium","sp","C1","","2950","109572","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Symbiodinium","sp","C15","","2950","109572","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Amphidinium","sp","Mf12.5f-clade A3","","993574","109572","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Symbiodinium","sp","type D1a","","462645","109572","paired"
"","Ochrophyta","Synchromophyceae","Synchromadales","Synchromadales","Synchroma","pusillum","CCMP3072","CCMP3072","1181717","837974","paired"
"","Ochrophyta","Bacillariophyceae","Fragilariales","Fragilariales","Synedra","sp","MALINA S93 P44.D11","RCC2510","1764925","","paired"
"","Ochrophyta","Bacillariophyta","Fragilariales","Fragilariales","Synedropsis","cf. recta","CCMP1620","CCMP1620","265551","341539","paired"
"","Chlorophyta","Chlorodendrophyceae","Chlorodendrales","Chlorodendrales","Tetraselmis","astigmatica","CCMP880","CCMP880","1074897","376360","paired"
"","Chlorophyta","Chlorodendrophyceae","Chlorodendrales","Chlorodendrales","Tetraselmis","chuii","PLY429","","63592","345528","paired"
"","Chlorophyta","Chlorodendrophyceae","Chlorodendrales","Chlorodendrales","Tetraselmis","sp","GSL018","","582737","134526","paired"
"","Chlorophyta","Chlorodendrophyceae","Chlorodendrales","Chlorodendrales","Tetraselmis","striata","LANL1001","","3165","375951","paired"
"","Ochrophyta","Bacillariophyceae","Thalassionematales","Thalassionematales","Thalassionema","frauenfeldii","CCMP1798","CCMP1798","186022","176362","paired"
"","Ochrophyta","Bacillariophyceae","Thalassionematales","Thalassionematales","Thalassionema","nitzschioides","L26_B","","33649","985570","paired"
"","Ochrophyta","Bacillariophyceae","Thalassionematales","Thalassionematales","Thalassionema","nitzschioides","Unkown","","33649","985570","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Thalassiosira","antarctica","CCMP982","CCMP982","160265","666449","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Thalassiosira","gravida","GMp14c1","","420259","149102","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Thalassiosira","miniscula","CCMP1093","CCMP1093","385413","555293","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Thalassiosira","oceanica","CCMP1005","CCMP1005","159749","345549","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Thalassiosira","punctigera","C2","","265564","148941","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Thalassiosira","rotula","CCMP3096","CCMP3096","49265","148942","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Thalassiosira","rotula","GSO102","","49265","148942","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Thalassiosira","sp","FW","","35127","148912","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Thalassiosira","sp","NH16","","35127","148912","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Thalassiosira","weissflogii","CCMP1336","CCMP1336","1577725","668848","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Thalassiosira","weissflogii","CCMP1010","CCMP1010","1577725","668848","paired"
"","Ochrophyta","Bacillariophyceae","Thalassionematales","Thalassionematales","Thalassiothrix","antarctica","L6-D1","","1049557","341540","paired"
"","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniales","Thoracosphaera","heimii","CCCM670","CCMP1069","2923","110277","paired"
"","Stramenopiles_X","Labyrinthulea","Thraustochytriales","Thraustochytriales","Thraustochytrium","sp","LLF1b","","1112570","119095","paired"
"","Ciliophora","Prostomatea","Prostomatea_X","Prostomatea_X","Tiarina","fusa","LIS","","693140","","paired"
"","Rhodophyta","Rhodophyceae","Porphyridiales-1","Porphyridiales-1","Timspurckia","oligopyrenoides","CCMP3278","CCMP3278","708627","624229","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Togula","jolla","CCCM725","CCCM725","285029","396102","paired"
"","Ochrophyta","Coscinodiscophyceae","Triceratiales","Triceratiales","Triceratium","dubium","CCMP147","CCMP147","1003142","418600","paired"
"","Lobosa","Amoebozoa_Xx","Trichosida","Trichosida","Trichosphaerium","sp","Am-I-7 wt","","498011","136799","paired"
"","Ochrophyta","Bolidophyceae","Parmales","Parmales","Triparma","eleuthera","OLI 120 SD-A","RCC208","172717","708590","paired"
"","Ochrophyta","Bolidophyceae","Parmales","Parmales","Triparma","eleuthera","BOUM117-22","RCC2347","91990","345469","paired"
"","Ochrophyta","Bolidophyceae","Parmales","Parmales","Triparma","pacifica","CCMP1866","CCMP1866","91992","375727","paired"
"","Ochrophyta","Bolidophyceae","Parmales","Parmales","Triparma","pacifica","OLI 94 SCH","RCC216","91992","375727","paired"
"","Ochrophyta","Bolidophyceae","Parmales","Parmales","Triparma","pacifica","MIN 129-20m Aa","RCC238","91992","345474","paired"
"","Ochrophyta","Bolidophyceae","Parmales","Parmales","Triparma","sp","MICROVIR 3K_0","RCC1657","91990","345469","paired"
"","Ciliophora","Oligohymenophorea","Scuticociliatia","Scuticociliatia","Uronema","sp","Bbcil","","104535","494309","paired"
"","Lobosa","Discosea-Flabellinia","Vannellida","Vannellida","Vannella","sp","DIVA3 518-3-11-1-6","","1487602","120566","paired"
"","Lobosa","Discosea-Flabellinia","Vannellida","Vannellida","Vannella","sp","DIVA3 517-6-12","","95228","120566","paired"
"","Ochrophyta","Xanthophyceae","Xanthophyceae_X","Xanthophyceae_X","Vaucheria","litorea","CCMP2940","CCMP2940","109269","146024","paired"
"","Lobosa","Discosea-Flabellinia","Dactylopodida","Dactylopodida","Vexillifera","sp","DIVA3 564","","218659","120570","paired"
"","Chromerida","Chromerida_X","Chromerida_Xx","Chromerida_Xx","Vitrella","brassicaformis","syn. A10","CCMP3346","1169539","837991","paired"
"","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniales","Brandtodinium","nutricula","SES46","RCC3378","1333877","840495","paired"
"","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniales","Gymnoxanthella","radiolariae","OKI26++","RCC3507","1798043","1370325","paired"
"","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniales","Heterocapsa","sp","AC212","RCC1516","39447","109784","paired"
