"Details","Phylum","Class","Order","Family","Genus","Species","Strain name","Strain name synonym","NCBI ID","WoRMS ID","Reads Type"
"","Chlorophyta","Chlorophyceae","Chloropicales","Chloropicales","Chloroparvula","sp_b2","IndianOcean_1-1","RCC696","2565275","","paired"
"","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicales","Chloroparvula","sp_b3","biosope_46 C4S","RCC999","464255","","paired"
"","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicales","Chloropicon","laureae","Biosope_42 A2","RCC856","100272","1361155","paired"
"","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicales","Chloropicon","laureae","CCMP2175","CCMP2175","100272","1361155","paired"
"","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicales","Chloropicon","mariensis","Biosope_46 C3S","RCC998","100272","1361154","paired"
"","Chlorophyta","Chlorophyceae","Chloropicales","Chloropicales","Chloropicon","maureeniae","LRF_5","CCMP2152","1461542","1361156","paired"
"","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicales","Chloropicon","primus","CCMP1205","CCMP1205","100272","1361151","paired"
"","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicales","Chloropicon","roscoffensis","JST MH317","RCC2335","100272","1361153","paired"
"","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicales","Chloropicon","roscoffensis","RA090205-09","RCC1871","100272","1361153","paired"
"","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicales","Chloropicon","sp","CCMP2111","CCMP2111","100272","","paired"
"","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicales","Chloropicon","sp","IndianOcean_8-1","RCC701","100272","","paired"
"","Chlorophyta","Chlorophyceae","Chloropicales","Chloropicales","Chloropicon","sp","CCMP2113","CCMP2113","1461542","","paired"
"","Chromerida","Chromera_Group","Chromera_Group_X","Chromera_Group_X","Chromera","velia","syn. RM12","CCMP2878","505693","594556","paired"
"","Chromerida","Chromerida_X","Chromerida_Xx","Chromerida_Xx","Chromerida_Xxxxx","sp","RM11","CCMP3155","348535","591164","paired"
"","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_X","Chromulina","nebulosa","CCMP266","CCMP266","96789","610218","paired"
"","Rhodophyta","Stylonematophyceae","Porphyridiales-2","Porphyridiales-2","Chroodactylon","ramnosum","SAG 103.79","RCC654","139907","","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Chroomonas","mesostigmatica","CCMP1168","CCMP1168","1195612","","paired"
"","Haptophyta","Prymnesiophyceae","Prymnesiales","Prymnesiales","Chrysochromulina","brevifilum","UTEX LB 985","","156173","624975","paired"
"","Haptophyta","Prymnesiophyceae","Prymnesiales","Prymnesiales","Chrysochromulina","polylepis","CCMP1757","CCMP1757","72548","670030","paired"
"","Haptophyta","Prymnesiophyceae","Prymnesiales","Prymnesiales","Chrysochromulina","polylepis","UIO037","","72548","670030","paired"
"","Haptophyta","Prymnesiophyceae","Prymnesiales","Prymnesiales","Chrysochromulina","rotalis","UIO044","","412157","619010","paired"
"","Haptophyta","Prymnesiophyceae","Calcihaptophycidae","Calcihaptophycidae","Chrysoculter","rhomboideus","Ccult","RCC1486","259385","396262","paired"
"","Ochrophyta","Pelagophyceae","Sarcinochrysidales","Sarcinochrysidales","Chrysocystis","fragilis","CCMP3189","CCMP3189","1411660","375757","paired"
"","Ochrophyta","Pelagophyceae","Sarcinochrysidales","Sarcinochrysidales","Chrysoreinhardia","sp","CCMP2950","CCMP2950","1104430","369489","paired"
"","Ochrophyta","Pelagophyceae","Sarcinochrysidales","Sarcinochrysidales","Chrysoreinhardia","sp","CCMP3193","CCMP3193","1104430","369489","paired"
"","Ciliophora","Heterotrichea","Heterotrichida","Heterotrichida","Climacostomum","virens","Stock W-24","","49980","417074","paired"
"","Rhodophyta","Unclassified_Rhodophyta","Unclassified_Rhodophyta_X","Unclassified_Rhodophyta_X","Coastal Red Alga","sp","CCMP1999","CCMP1999","100272","","paired"
"","Haptophyta","Prymnesiophyceae","Coccolithales","Coccolithales","Coccolithus","pelagicus","PLY182g","","221442","843999","paired"
"","Rhodophyta","Compsopogonophyceae","Compsopogonales","Compsopogonales","Compsopogon","caeruleus","SAG36_94","","31354","371039","paired"
"","Ciliophora","Heterotrichea","Heterotrichida","Heterotrichida","Condylostoma","magnum","COL2","","40633","417077","paired"
"","Ochrophyta","Coscinodiscophyceae","Corethrales","Corethrales","Corethron","hystrix","308","","216773","179596","paired"
"","Ochrophyta","Coscinodiscophyceae","Corethrales","Corethrales","Corethron","pennatum","L29A3","","218684","341496","paired"
"","Ochrophyta","Coscinodiscophyceae","Coscinodiscales","Coscinodiscales","Coscinodiscus","wailesii","CCMP2513","CCMP2513","671091","156632","paired"
"","Ochrophyta","Bacillariophyceae","Mastogloiales","Mastogloiales","Craspedostauros","australis","CCMP3328","CCMP3328","1486917","495215","paired"
"","Chlorophyta","Mamiellophyceae","Dolichomastigales","Dolichomastigales","Crustomastix","stigmata","CCMP3273","CCMP3273","195967","376127","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Crypthecodinium","cohnii","Seligo","","2866","109998","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Cryptomonas","curvata","979-52","CCAP979/52","233186","238840","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Cryptomonas","paramecium","977-2a","CCAP977/2a","2898","622886","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Cryptophyceae_Xxx","sp","CCMP2293","CCMP2293","697907","17639","paired"
"","Metazoa","Ctenophora","Ctenophora_X","Ctenophora_X","Ctenophora_Xxx","sp","D1","","100272","","paired"
"","Metazoa","Ctenophora","Ctenophora_X","Ctenophora_X","Ctenophora_Xxx","sp","Undescribed","","100272","","paired"
"","Glaucocystophyta","Glaucocystophyceae","Glaucocystophytes","Glaucocystophytes","Cyanoptyche","gloeocystis","SAG4.97","","77922","619321","paired"
"","Ochrophyta","Bacillariophyceae","Cyclophorales","Cyclophorales","Cyclophora","radiata","13vi08-1A","","1158023","837899","paired"
"","Ochrophyta","Bacillariophyceae","Cyclophorales","Cyclophorales","Cyclophora","tenuis","ECT3854","","216820","577625","paired"
"","Ochrophyta","Mediophyceae","Stephanodiscales","Stephanodiscales","Cyclotella","meneghiniana","CCMP338","CCMP338","29205","148909","paired"
"","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariales","Cylindrotheca","closterium","KMMCC:B-181","","2856","149004","paired"
"","Ochrophyta","Coscinodiscophyceae","Rhizosoleniales","Rhizosoleniales","Dactyliosolen","fragilissimus","Dactyliosolen fragilissimus","","1118495","985165","paired"
"","Fungi","Ascomycota","Saccharomycotina","Saccharomycotina","Debaryomyces","hansenii","J26","","4959","147583","paired"
"","Ochrophyta","Mediophyceae","Thalassiosirales","Thalassiosirales","Detonula","confervacea","CCMP353","CCMP353","83371","163224","paired"
"","Holozoa","Choanoflagellatea","Acanthoecida","Acanthoecida","Diaphanoeca","grandis","Jubany 4.1.09","RCC4269","28014","105571","paired"
"","Holozoa","Choanoflagellatea","Acanthoecida","Acanthoecida","Diaphanoeca","grandis","Svalbard","RCC4271","28014","105571","paired"
"","Holozoa","Choanoflagellatea","Acanthoecida","Acanthoecida","Diaphanoeca","grandis","Svalbard East","RCC4272","28014","105571","paired"
"","Ochrophyta","Dictyochophyceae","Dictyochales","Dictyochales","Dictyocha","speculum","CCMP1381","CCMP1381","35687","157260","paired"
"","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_X","Dinobryon","sp","UTEXLB2267","","98059","157240","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Dinophysis","acuminata","DAEP01","","47934","109603","paired"
"","Ochrophyta","Mediophyceae","Lithodesmiales","Lithodesmiales","Ditylum","brightwellii","GSO105","","49249","149023","paired"
"","Ochrophyta","Mediophyceae","Lithodesmiales","Lithodesmiales","Ditylum","brightwellii","GSO103","","49249","149023","paired"
"","Ochrophyta","Mediophyceae","Lithodesmiales","Lithodesmiales","Ditylum","brightwellii","GSO104","","49249","149023","paired"
"","Ochrophyta","Mediophyceae","Lithodesmiales","Lithodesmiales","Ditylum","brightwellii","Pop1-SS4","","49249","149023","paired"
"","Ochrophyta","Mediophyceae","Lithodesmiales","Lithodesmiales","Ditylum","brightwellii","Pop2-SS10","","49249","149023","paired"
"","Chlorophyta","Mamiellophyceae","Dolichomastigales","Dolichomastigales","Dolichomastix","tenuilepis","CCMP3274","CCMP3274","195969","345463","paired"
"","Chlorophyta","Chlorophyceae","Chlorophyceae_X","Chlorophyceae_X","Dunaliella","tertiolecta","CCMP1320","CCMP1320","3047","178590","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Durinskia","baltica","CSIRO CS-38","","400756","841287","paired"
"","Foraminifera","Rotaliida","Rotaliida_X","Rotaliida_X","Elphidium","margaritaceum","Elphidium margaritaceum","","933848","113279","paired"
"","Haptophyta","Prymnesiophyceae","Isochrysidales","Isochrysidales","Emiliania","huxleyi","379","","2903","115104","paired"
"","Haptophyta","Prymnesiophyceae","Isochrysidales","Isochrysidales","Emiliania","huxleyi","374","","2903","115104","paired"
"","Haptophyta","Prymnesiophyceae","Isochrysidales","Isochrysidales","Emiliania","huxleyi","PLYM219","","2903","115104","paired"
"","Haptophyta","Prymnesiophyceae","Isochrysidales","Isochrysidales","Emiliania","huxleyi","CCMP370","CCMP370","2903","115104","paired"
"","Haptophyta","Prymnesiophyceae","Isochrysidales","Isochrysidales","Emiliania","huxleyi","AC675 syn. OS 2","RCC1253","2903","115104","paired"
"","Haptophyta","Prymnesiophyceae","Isochrysidales","Isochrysidales","Emiliania","huxleyi","BOUM77","RCC1857","2903","115104","paired"
"","Haptophyta","Prymnesiophyceae","Isochrysidales","Isochrysidales","Emiliania","huxleyi","CHC2","RCC3782","2903","115104","paired"
